,"modelName","X","M","Y","IndEff_est","IndEff_SE","IndEff_95%CI-Lo","IndEff_95%CI-Hi","DirEff_b","DirEff_SE","DirEff_X_t","DirEff_X_p","DirEff_model_R^2","DirEff_model_R^2adj","DirEff_model_F","DirEff_model_df1","DirEff_model_df2","DirEff_model_p","aPath_b","aPath_SE","aPath_X_t","aPath_X_p","aPath_model_R^2","aPath_model_R^2adj","aPath_model_F","aPath_model_df1","aPath_model_df2","aPath_model_p","bPath_b","bPath_SE","bPath_X_t","bPath_X_p","bPath_model_R^2","bPath_model_R^2adj","bPath_model_F","bPath_model_df1","bPath_model_df2","bPath_model_p"
"11","med_noC_brain_vol_hippocamp_L_t2_z_cog_TMT_numericDuration_t2_z","crp_log_z","brain_vol_hippocamp_L_t2_z","cog_TMT_numericDuration_t2_z","-0.0002134348","0.0002392477","-0.0006823517","0.0002554821","0.004283","0.007375","0.581","0.561415","0.1111","0.1103","131.7","18","18952","<2.2e-16","0.006268","0.006687","0.937","0.348620","0.3855","0.3849","660.5","18","18952","<2.2e-16","0.004496","0.007371","0.610","0.541900","0.112","0.1111","125.8","19","18951","<2.2e-16"
"12","med_noC_brain_vol_brainSegNoVent_t2_z_cog_PC_2_z","crp_log_z","brain_vol_brainSegNoVent_t2_z","cog_PC_2_z","-0.0001863828","0.000203486","-0.0005852081","0.0002124424","-0.008692","0.008429","-1.031","0.302464","0.003228","0.002282","3.41","18","18952","1.256e-06","-0.010524","0.003504","-3.003","0.00268","0.8315","0.8313","5194","18","18952","<2.2e-16","-0.008505","0.008431","-1.009","0.313064","0.003282","0.002283","3.285","19","18951","1.644e-06"
"13","med_noC_brain_vol_hippocamp_L_t2_z_cog_TMT_numericErrors_t2_z","crp_log_z","brain_vol_hippocamp_L_t2_z","cog_TMT_numericErrors_t2_z","-3.882684e-05","8.753849e-05","-0.0002103991","0.0001327455","-0.0053717","0.0077458","-0.694","0.488000","0.007809","0.006867","8.287","18","18952","<2.2e-16","0.006268","0.006687","0.937","0.348620","0.3855","0.3849","660.5","18","18952","<2.2e-16","-5.333e-03","7.746e-03","-0.688","0.491165","0.007838","0.006843","7.879","19","18951","<2.2e-16"
"14","med_noC_brain_vol_brainSegNoVent_t2_z_cog_PC_3_z","crp_log_z","brain_vol_brainSegNoVent_t2_z","cog_PC_3_z","0.0006637251","0.0002934161","8.864001e-05","0.00123881","0.017086","0.008397","2.035","0.041880","0.0296","0.02867","32.11","18","18952","<2.2e-16","-0.010524","0.003504","-3.003","0.00268","0.8315","0.8313","5194","18","18952","<2.2e-16","0.016422","0.008396","1.956","0.050484","0.03027","0.0293","31.13","19","18951","<2.2e-16"
"15","med_noC_brain_vol_hippocamp_L_t2_z_cog_tower_cor_t2_z","crp_log_z","brain_vol_hippocamp_L_t2_z","cog_tower_cor_t2_z","0.000157244","0.0001863207","-0.0002079378","0.0005224258","0.011574","0.008143","1.421","0.155239","0.06621","0.06532","74.65","18","18952","<2.2e-16","0.006268","0.006687","0.937","0.348620","0.3855","0.3849","660.5","18","18952","<2.2e-16","0.011417","0.008142","1.402","0.160859","0.0666","0.06567","71.17","19","18951","<2.2e-16"
"16","med_noC_brain_vol_hippocamp_R_t2_z_cog_digsub_cor_t2_z","crp_log_z","brain_vol_hippocamp_R_t2_z","cog_digsub_cor_t2_z","0.0002490524","0.0003011081","-0.0003411086","0.0008392134","-0.019687","0.007504","-2.624","0.008708","0.1958","0.195","256.3","18","18952","<2.2e-16","0.005755","0.006759","0.852","0.394502","0.3743","0.3737","629.7","18","18952","<2.2e-16","-0.019936","0.007499","-2.659","0.007851","0.197","0.1962","244.7","19","18951","<2.2e-16"
"17","med_noC_brain_vol_brainSegNoVent_t2_z_cog_prospMem_timeDelay_t2_z","crp_log_z","brain_vol_brainSegNoVent_t2_z","cog_prospMem_timeDelay_t2_z","0.0003598923","0.0001747204","1.744666e-05","0.000702338","-0.017813","0.005531","-3.221","0.001282","0.02747","0.02654","29.74","18","18952","<2.2e-16","-0.010524","0.003504","-3.003","0.00268","0.8315","0.8313","5194","18","18952","<2.2e-16","-0.018173","0.005531","-3.285","0.00102","0.02792","0.02695","28.65","19","18951","<2.2e-16"
"18","med_noC_brain_vol_hippocamp_R_t2_z_cog_fluidIntel_QsAttempted_t2_z","crp_log_z","brain_vol_hippocamp_R_t2_z","cog_fluidIntel_QsAttempted_t2_z","0.0001462872","0.0001886026","-0.0002233671","0.0005159415","-0.006699","0.008157","-0.821","0.411526","0.04334","0.04243","47.54","18","18890","<2.2e-16","0.005755","0.006759","0.852","0.394502","0.3743","0.3737","629.7","18","18952","<2.2e-16","-0.006862","0.008155","-0.841","0.400163","0.04376","0.0428","45.5","19","18889","<2.2e-16"
"19","med_noC_brain_vol_brainSegNoVent_t2_z_cog_reactiontime_mean_t2_z","crp_log_z","brain_vol_brainSegNoVent_t2_z","cog_reactiontime_mean_t2_z","0.00108001","0.000403775","0.0002886259","0.001871395","0.020700","0.007992","2.590","0.00960","0.09983","0.09897","116.8","18","18952","<2.2e-16","-0.010524","0.003504","-3.003","0.00268","0.8315","0.8313","5194","18","18952","<2.2e-16","0.019620","0.007986","2.457","0.01402","0.1016","0.1007","112.9","19","18951","<2.2e-16"
"20","med_noC_brain_vol_hippocamp_R_t2_z_cog_fluidIntel_score_t2_z","crp_log_z","brain_vol_hippocamp_R_t2_z","cog_fluidIntel_score_t2_z","0.0001728892","0.0002172616","-0.0002529357","0.000598714","-0.038589","0.008104","-4.761","1.94e-06","0.06261","0.06172","70.09","18","18890","<2.2e-16","0.005755","0.006759","0.852","0.394502","0.3743","0.3737","629.7","18","18952","<2.2e-16","-0.038781","0.008102","-4.786","1.71e-06","0.0632","0.06226","67.07","19","18889","<2.2e-16"
"21","med_noC_brain_vol_brainSegNoVent_t2_z_cog_TMT_alphanumDuration_t2_z","crp_log_z","brain_vol_brainSegNoVent_t2_z","cog_TMT_alphanumDuration_t2_z","0.001442251","0.0005125791","0.0004376146","0.002446888","0.011898","0.007805","1.524","0.127445","0.1259","0.1251","151.7","18","18952","<2.2e-16","-0.010524","0.003504","-3.003","0.00268","0.8315","0.8313","5194","18","18952","<2.2e-16","0.010455","0.007792","1.342","0.179700","0.1292","0.1284","148","19","18951","<2.2e-16"
"22","med_noC_brain_vol_hippocamp_R_t2_z_cog_matrix_cor_t2_z","crp_log_z","brain_vol_hippocamp_R_t2_z","cog_matrix_cor_t2_z","0.0001146711","0.0001548078","-0.0001887465","0.0004180887","-0.015993","0.008004","-1.998","0.04571","0.09185","0.09098","106.5","18","18952","<2.2e-16","0.005755","0.006759","0.852","0.394502","0.3743","0.3737","629.7","18","18952","<2.2e-16","-0.016108","0.008003","-2.013","0.04416","0.0921","0.09119","101.2","19","18951","<2.2e-16"
"23","med_noC_brain_vol_brainSegNoVent_t2_z_cog_TMT_alphanumErrors_t2_z","crp_log_z","brain_vol_brainSegNoVent_t2_z","cog_TMT_alphanumErrors_t2_z","0.0003071309","0.0001884107","-6.214726e-05","0.0006764091","-0.001321","0.006883","-0.192","0.84784","0.01746","0.01653","18.71","18","18952","<2.2e-16","-0.010524","0.003504","-3.003","0.00268","0.8315","0.8313","5194","18","18952","<2.2e-16","-0.001628","0.006884","-0.236","0.8131","0.01768","0.01669","17.95","19","18951","<2.2e-16"
